content,sentimen
sangat bagus,1
mantap,1
oke,0
ada bug pada Videocall tolong diperbaiki,0
telponnya mati mati gajelas dan suaranya selalu gajelas,0
Sangat Puas,1
"makin busuk tiap lu update nih, upload status lgsg ngebug keyboard ngambang ke tngh - atas, sortir privasi hanya bagikan dengan malah double contact nya, jelek lama lama cuma mau untung doang",0
mantap,1
bagus banget,1
aplikasi ini membuat saya merasa lebih nyaman membuat saya merasa semakin mudah membuat foto menjadi video klip dan sangat menghibur hari hariku bersamanya di dunia yang paling penting adalah bagaimana kita menyikapinya dengan baik maka baik pula dengan mudah,1
kenapa whatsApp sy akun nya di batasi,1
"setelah di perbarui WhatsApp makin gajelas sistemnya Saya sudah ganti nomor 2 kali masih tetep kena spam terus sudah berhasil kena spam lagi sampe 4 kali tolong perbaiki sistemnya supaya kenyamanan pelanggan WhatsApp terjamin, terimakasih",0
"Kenapa skarang sring kena spm WhatsApp dikit² minta tinjauan kena blok, parah dah",0
seru bgt,1
wa say tidak bisa terbuka,1
mantap lah,1
aku bisa nelpon orang 😁😁,1
Saya ngasih bintang 5 karena WhatsApp banyak membantu,1
Alhamdulillah. Akhirnya verifikasi nomor HP akun WA sudah bisa dilalui. Trims,1
bagus,1
bagus,1
aplikasi busuk dikit dikit kena spam padahal chat ke no baru dasar apk sampah,0
sangat bagus,1
wa tdk bs di guna kan,1
sangat praktis,1
mantaf,1
"bagus si, tapi sering eror, dan kalo vc ngelag",1
bagus,1
tolong aplikasi ini jangan selalu rusak atau tiba tiba kena spam padahal tidak melakukan pelanggaran,1
mantap sekali,1
"selamat malam kepada cs wa yang terhormat saya azrah sebagai pengguna aplikasi ini merasa sangat kecewa di karenakan sistem kerja aplikasi yang sangat tidak masuk akal, saya mengalami kendala akun wa saya selalu terkena blokir bisa 2-3 kali dalam 2 hari padahal saya hanya ingin mengirim pesan ke kontak baru, tapi baru 1 pesan saja sudah terkena blokir, haduhh mohon di perbaiki lagi sistem kerja aplikasinya",0
"Mudah berkomunikasi, kalau boleh request, semoga wa bisa live kayak aplikasi lain ya🤭",1
goblog ora bisa pencet,0
Bagus cepat,1
Kembalikan WhatsApp kaya dulu lagi....skrg menyebalkan rame udah kaya IG,0
sangat membantu skali,1
sangat membantu saya dalam berkomunikasi,1
caraulih kan akun saya,1
Sagat Yaman memakai apk ini,1
"bergunaa bgttt , aihh sukaaaa , minusnya klo bikin sw kok burem sii gskaa tapi gapapaa bisa komunikasian smaa shabat terchintaaahh",1
WhatsApp adain sorotan juga dong,1
bagus,1
ok,1
gak bisa di buka memeq,0
bagus tapi GK saya kasih 5 agar lebih bagus,1
Keren,1
👍,1
baik informatif,1
"mana WhatsApp yang dulu? WhatsApp yang dulu TIDAK ADA BUG SAMA SEKALI, ketika update ada bertambah fitur, dan bertambah bug nya juga, permintaan kita semua sama, buat wa se simple dulu, tanpa adanya bug",0
nice,1
"Add feature: Message scheduling, that is, someone can mark what day and what time the message will be sent automatically.",1
bagus,1
"ngga ada salah aja di tinjau, aplikasi aneh!",0
kenapa wa saya tiba2 ke log out sndiri. disuruh verifikasi lagi. padahal nmr bener tapi dstu bacaannya nomor salah .. padahal udh pake nomor wa nya ini dari tahun 2020. mengapa WhatsApp sangat buruk skrg,0
bagus,1
mantap,1
whatsapp sangat mempermudah komunikasi,1
bagusssssss,1
sengaja aku buat bintang 5 karena bug sekarang mulai banyak muncul kaya nomer ga di priv tapi nggak bisa liat SW kalo mau repost biasanya suka terjadi kesalahan harus di spam tekan biar bisa,1
apk nya sangat buruk tidak ada yang ngechet saya,0
bagus banget,1
ok,1
bagus,1
"sekarang bikin status blur gak bisa di HD, kualitas hd nya udh gak kayak dulu klo status",0
sudah bagus hanya tidak bisa di update,1
akun saya tiba-tiba tidak bisa menggunakan whatsapp karena melanggar sesuatu padahal saya gak ngapa ngapain,0
baikk,1
Bagus,1
oke,1
kok wa saya tidak bisa di buat vc iya,1
sangat membatu dalam menerima dan menyampaikan informasi,1
mantappp,1
WhatsApp gajelas suka ellor,0
baik,1
bagus sekali,1
mohon untuk developer nomor WhatsApp saya tidak bisa login,1
kenapa watsap sering Kali tidak bisa kepake Tiba Tiba Hyland,1
"wa sekarang menyebalkan. kenapa melihat setatus wa sendiri bisa geser otomatis ke setatus wa orang lain, karena saya jarang banget pengen lihat sttus wa orang lain. biasanya klo lgi ngecek sttus sendiri dia langsung kembali ke sttus sya sendiri, ini mah malah lanjut ke sttus orang tanpa aku geser. ditambah klo ada pesan masuk gx langsung muncul,cuman muncul diatas ada pembritahuan begini(mungkin anda telah menerima pesan baru) gitu. padhal kuota banyak,sinyal pun bagus.",0
"yang paling penting adalah kualitas unggahan foto/video bisa sesuai dengan size/ukuran asli,,tolong di perbaiki itu,,",0
2026 Wa menurut saya makin gaje upload story udah pilih yg hd malam blur hadeh dan suka ngebuk saat vc,0
gada efek,0
senat buruk,0
Bagus,1
ok,1
bagus banget,1
Ok baguz,1
ok,1
sangat bagus,1
"𝘬𝘯𝘱 𝘢𝘱𝘭𝘪𝘬𝘢𝘴𝘪 𝘪𝘯𝘪 𝘶𝘥𝘩 𝘴𝘢𝘺𝘢 𝘶𝘱𝘥𝘢𝘵𝘦 , 𝘵𝘢𝘱𝘪 𝘨𝘢𝘬 𝘮𝘶𝘯𝘤𝘶𝘭 𝘷𝘪𝘵𝘶𝘳 𝘩𝘥 𝘪𝘯 𝘣𝘶𝘢𝘵 𝘴𝘦𝘳𝘢𝘵𝘶𝘴 𝘸𝘢𝘴𝘵𝘢𝘱?",1
lebih bagus,1
"aplikasi ngebut, edit nama kontak dan yang lain ga ada , terus mau nambah kontak ga ada juga fiturnya segara diperbaiki sangat mengganggu",0
"agak lain pas mau Buka wa tiba"" kadaluarsa",1
mantap aplikasinya,1
ok,1
"Whatsapp tidak bisa digunakan Karena tidak resmi, walaupun sudah dinunduh di whatsapp resmi tetap tidak bisa, ini kenapa ya?",1
sangat membantu,1
good,1
ok,1
kenapa Whatsap bisa gunakan g bisa ferifiwikasi,1
mantap,1
bagus sekali karna sudah updeta saya jadi bisa pake filter,1
"udah dikasih bintang 5 nihh, req yaa bisa ada fitur bubble obrolan untuk chat pribadinya🤗",1
"untuk metta , mohon di perbaiki, updet terbaru nge bug di bagian profil pengguna lain, chat bagian profil gelap.",1
"PERBAIKI BUG !!!!. saya membagikan pesan suara saya ke status namun tidak muncul di ponsel teman saya meski sudah saya atur privasi status agar dilihat oleh semua kontak saya. laporan saya diabaikan, aplikasi bodoh",0
"ga aman sllah gabisa di buka, tulisan terjangkau",0
"makin gak jelas, whatsap gak bisa disambungin ke bluetooth headset. ganti perangkat lain juga sama",1
keren babget,1
bagus,1
aplikasi bagus yang sangat mudah dipergunakan,1
bagus,0
parah Sekali Ini Aplikasi. tidak Bisa Lihat Foto/video/dokumen apapun...,0
"Abis di perbaharui, chat aplikasinya malah ga bisa di kunci. Klo hp lg di pake anak jadi buka2 chat wa",1
sangat baik sekali,1
bagus,1
oke 👍,1
"bagus, tapi benerin dlu dong kualitas foto dan video yang di up ke status WhatsApp",1
Bagus,1
ga ada yg chat,0
okey,1
"tolong, aku pengen wa ku ada filternya, sampe sekarang masih gaada",1
suka error buka status wa,1
yg terbaik👍,1
Akun wa saya ke blok mohon dong di perbaiki,0
watsap bagus,1
kenapa sekarang wa kalau vc kepencet muka sendiri suka ngelag jdi gda gambar,1
"SATU MALAM AKUN KENA TINJAUAN 2 KALI, padahal ga pakai pihak ke 3 ini resmi dibilang make hadeh",0
"tiba"" wa saya ga bisa di buka, dan di nyatakan spam dan di dlm bnyak krjaan lg, bikin bingung",0
Dengan harapan aplikasi WhatsApp bisa terinstal di hp oppo a37. Aamiin.,1
WhatsApp bagus dan membantu aktivitas,1
selolu kena blokir saat bulak WhatsApp,1
baik sekali,1
Kenapa. Wa ga bisa di update,1
enak di pake dan engak ribet,1
nice app,1
"canggihh!!, saya suka!! bahkan meta AI ramah dan seru!! bisa membuat foto bisa bikin cerita bisa buat curhat!! yang saya rindu itu adalah Avatar!! dan bisa buat banyak saluran dan buat status!! saran saya cuma.. 1. bisa balikan Avatar gak saya belum membuatnya 2. Meta AI sering nge bug/lag kayak konsep foto,konsep cerita, konsep curhat sekian saran dari saya wassalamu'alaikum warahmatullahi wa barakatuh...",1
lag,0
"sering ada orng toxic yng chat+ banyak orng jail suka bug in no wa orng sampe bikin tidak merasa nyaman, kehilangan kenangan terindah",1
"huft daftarin nomer baru malah gak bisa bisa padahal penting banget buat orang tua,udh kirim email juga masih gak bisa",0
kena spam Mulu akun ku,0
"jelek bngt kualitas call nya, makin canggih ini dong, gk ada fitur ngatur noise nya apa? kayak discord gitu loh, masa perkara sambil di cas suara jadi mendem?, gampang bocor kalo buka apk lain, canggih ini lah..... tambahin fitur diffen",0
"keterlaluan WhatsApp ga jelas, di tinjau tinjau ga jelas menunggu lama baru berapa menit udah di tinjau lagi, mau kalian apa? perbaiki cara kerja kalian, udah capek nunggu lama di tinjau tinjau ujung ujung nya tinjau lagi maksud nya apa coba gajelas bgt, mau komunikasi sama keluarga jadi susah SANGAT KETERLALUAN",0
keren aku suka,1
terlalu bnyak perubahan bikin ribet doang,0
ok,1
saya harap di wa bisa melihat berapa kali orang lain lihat sw kita,1
mulai buruk!!!!,0
aplikasi yg sangat membantu dalam komunikasi terbaik,1
"bintang 3, tidak ada cewek yg wa saya duluan sejak saya putus denganya 😭😭",1
washap eror tdk bisa dibuka,1
"mohon untuk diupdate lagi aplikasinya. soalnya kalo misalkan kita upload status menggunakan lagu, maka hasil dari postingan status itu akan terlihat sedikit buram. jadi saya minta untuk perbaiki itu. agar supaya ketika kita mengupload status menggunakan lagu, hasilnya lebih jernih.",1
sangat baik,1
Sangat luar biasa,1
Aplikasinya nah bagus banget buat orang orang bisnis,1
mantap,1
Kerennnn,1
knpa pas vc suka lag,1
𝐬𝐚𝐧𝐠𝐚𝐭 𝐛𝐚𝐠𝐮𝐬,1
pulihkan akun wa saya,1
nggak bisa di buka weahnya,1
good,1
When can we comment on WhatsApp statuses,1
Semenjak sering update mau bikin story Poto suka lama ngebelg hitam klo update nya belom sempurna jangan di luncurkan kan dulu tolong perbaiki lagi sistem nya,0
wa nya gabisa login,0
mengapa akun WhatsApp saya sedang di tinjau lagi,1
"untuk aplikasi ini, tolong untuk tidak sembarang memblokir nomor tanpa alasan yg jelas",1
intinya bagus😊👍,1
ok,1
mantap,1
wa saya tidak bisa digunakan akun sedang ditinjau ...,1
"for developers and teams, can you guys add a feature to remove followers on a channel, for some users who are visible on the channel. please everyone, i really hope for this.",1
gak macet kl,1
lumayan bagus lah ya,1
tolong di pulihkan kembali whatsapp nya biar sllu aktif,1
aplikasi mantap ga kena blokir lagi,1
kadang no wa ke logout sendiri,0
knpa belakang ini sering eror klo video call,1
bagus tapi kenapa di wa ku ga ada fitur filter ya,1
"BAGUSS,tapi penyimpanannya sangat besar, jadi susah untuk mendownload yg lain",1
"sekarang wa dikit² kena kenon, tolong sih WhatsApp di perbaiki lagi sistem nyaa,masa gw buka WhatsApp lansung kena kenon.!!",1
bagus,1
sering menghubungkan padahal internet ada,1
tambah kan fitur diamond ff/ml gratis min🤭😁,1
bagus keren,1
perbarui wa1,0
bagus,1
oke,1
enak sih nggak ada halangan tapi kalo nggak usah update gitu,1
"tiap hari wa gw ""akun sedang ditinjau"" wa sekarang ngk tau kenapa",0
Sangat Membantu Dan Berguna Sekali,1
mantap,1
bagus,1
Sangat puas bagus,1
akun saya sering ditinjau,0
nomor baru udh diblokir maksutnya gmn coba diblokir tiap 6 jam,0
baik,1
baik,1
"Update whatsapp di hp saya selalu lambat, padahal di playstore sudah mengaktifkan update secara otomatis, tetapi selalu lambat.",0
oke,1
bagus,1
👎👎👎👎👎,0
bagus bangettt sukaaaદᵕ̈૩,1
wa ku ga bisa di buka kenapa ya? huhuu :((,1
whatsapp selalu minta verifikasi no telepon/akun jdi whatsapp tidak bisa kebuka,0
buat update story video pecah,0
tolong hapuskan fitur tarik pesan,0
apk keren,1
ok Bosque,1
bagus,1
tingkat kan resolusi unggah dan foto. masa upload video ke status jadi ngeblur,0
semoga ke depannya whatsapp lebih mantap..,1
karna bagus,1
bagus,1
ok,1
baik,1
knpa wa saya bisa eror,1
keren,1
Apk Sangat bagus & Efisien dapat membantu Saya dalam pekerjaan,1
bagus,1
apa ini kok gak bisa di download dan mengulang terus,0
stiker Segede gaban gw ga bisa (kalo bisa lagi gw kasi bintang 5),0
parah...WA udah tiga kali ganti nomor gara gara ga bisa login lagi....suruh download aplikasi resmi padahal dari dulu ga pernah di apa apain... kalo ada BBM mending itu dah.....,0
bagus,1
aduhhhh.....,0
ok,1
"WhatsApp makin lama makin gajelas fitur nya, kadang up sw kualitas pecah waktu nambahin lagu, pilihan lagu ga jelas (ga masuk trend), dan kadang video suka ngebug waktu di up ke sw",0
"saya benar benar kecewa sama WhatsApp sekarang makin lama makin ga jelas , setiap vidio call ketika saya melihat wajah saya masa tiba tiba gelap , hilang segala macam lah , tiba tiba tegang aplikasi nya , vc tiba tiba mati padahal jaringan stabil , SAYA LEBIH SUKA YG DILU KETIMBANG YG SEKARANG, UDH MULAI SAMA WA KEK WA IPHONE , NIRU NIRU SEGALA , SY LEBIH SUKA WA YG DULU ,",0
"apl ngak jelas, chat saya ngak pernah di balas",0
aku kasih bintang lima karna ya aplikasi nya bagus aja,1
mantap tur sehun🙏,1
"aplikasi nya bagus, aku suka tapi kok bisa ya tiba-tiba nomor aku keluar akun gitu? disuruh minta tinjauan aku bikin, aku nunggu dengan sabar tapi kok setelah tinjauan selesai, aku mau login kembali, minta verifikasi tiba-tiba sistem nya bilang aku gapake wa resmi padahal udah aku instal dari play store loh udah 2 kali terjadi sama aku, muak sumpah aku dah ganti nomor ehh belum beberapa bulan no satu lagi keblokir juga benci banget tolong yaa diperbaiki lagi! terimakasih",0
saya kurir paket kesulitan karena wa sering ke band,0
yg sudah di download hilang semua !!!!!,0
bagus,1
mencoba,1
baik,1
saya minta tinjau akun WhatsApp dan bisa pakai lagi akun WhatsApp saya dan saya tidak ad pelangaran saya d WhatsApp saya mau kembali lagi akun WhatsApp kerena banyak kempintingan d akun itu,0
hallo kak ini kenapa nomer saya di profil WhatsApp hilang padahal masih aktif kartu sim,1
keren,1
kebanyakan grup bokep di wa,1
lama download nya,1
karena saat mau uplod status jadi burik,0
suka lancar untuk berkomunikasi,1
ko say a ga bisa masuk,0
yeees,1
baik dan lancar,1
Okeee,0
WhatsApp ini jahat banget gue baru beli kartu baru langsung kena tinjau gue mau ngabarin keluarga gk bisaa gue lagi celaka memang jahat .gue sekarang di jalan. gk bisa chat orang rumah atau temen kalo gituh gk usah bikin tinjau tinjau di mana tangagung Jawad nya gue kirim bantuan gk di bantu bantu,0
Lama amat download yha,0
sekarang update cepet tapi banyak bug pesan suara kalu diputar tiba tiba layar hp layar hitam dan suara pesan suara keras banget padahal gak ku naikin volume hpnya😔🫠,0
"selalu ada bug saat melakukan panggilan video,kadang juga telepon mati sendiri padahal jaringan dan yang lainnya aman aman saja",0
bgus si,1
kadang bagus kadang engga jir ni apk,1
mantap,1
kenapa ada bug nya,1
aman aja,1
tidak jelas tiba tiba di tinjau,0
"2x kena blokir alesan spam ,padahal tidak pernah melanggar apapun , sy mengerjakan tugas sekolahnya bagaimana ini... banyak group penting seputar info sekolah dll... kalo aplikasi WhatsApp sekarang begini ,lali harus pakai apa 😭😭😭 asal tau aja ya sy beli kartu itu pun harus hasil tabung uang sisihan jajan sekolah,&yg kedua ini sy beli kartu padahal baru. daftar wa pakai no yg baru belum pernah bikin aneh²,status /apalah yg melanggar v kenapa tetep keblokir. sekarang aplikasi WhatsApp kacau",0
good,1
sangat puasss,1
setelah update os hp malah jadi buram saat vidio call,0
"aplikasi kacau, ini kok gw buka wa tetiba keluar sendiri dari aplikasi, baru masuk, keluar lagi, masuk keluar lagi, padahal gw udh update wa nya, gw udh hapus aplikasi nya juga masih tetep gitu, tolong whatsapp kenapa dengan aplikasi mu ini",1
Harus bagus terus,1
"wa skrng makin anehhh ,masa aku punya2 wa trs aku bkin sw di akun pertma, trs sw ku jga msuk di akun ke 2",0
bagus,1
sekarang ini apk makin gajelas akun gw tiba tiba banget Ke band Tanpa sebab,0
tidak dapat di pake aplikasi watsap nya kenapa ya?,1
sangat puas dan bisa chat pas lagi penting,1
berrrr guna sekali cok,1
ok,1
"kenapa tetap disuruh donload wa resmi, apa aplikasi ini belom resmi ???",0
Apikasi ini sangat baik,1
"SANGAT BURUK WHATSAPP SEKARANG SAYA CUMAN CHAT TEMAN TAPI KENA BLOKIR SUNGGUH "" ANEH TOLONG KEPADA PIHAK WHATSAPP SEGARA ATASI YANG BEGINI INI MEMBUAT SAYA DAN PENGGUNA LAIN MUNGKIN SANGAT KECEWA",0
wa gembel diki² di blok gblok,0
"wa sekarang data gak ngotakk,,, cepet banget..tiba tiba udah 3gb kalo udah dipakai",1
kualitas status jelek🤮🤮🤮🤮,0
"tolong ya WhatsApp, kalau aku lagi nonton status ku sendiri itu berhenti aja di status ku , gak perlu langsung otomatis lihat status orang lain.. aku tuh orang nya pilih2 kalau lihat stori orang, tapi skrg kalau habis update story pribadi, tiba2 langsung otomatis lihat stori orang.. apa an gak jelas min.. gak usah pake otomatis gitu deh.. ..",1
tidak bisa vc sambil main gemm,1
sengaja kasih bintang 5.kenapa akhir² ini WA jadi jelek banget. baru saja sekali ngechat orang langsung kena suspend selama 24 jam aneh banget. mohon di perbaiki sistem aplikasinya,1
Bagus,0
Tolong hilangkan fitur sekali liat!!!!!!,1
"Maaf bgt ya , untk apk ini bgus , tp knp ktka ak updte , mlh ttp sma aj , dn g ad prbhn ny smsek mngkin aj it bwaan dri hp atw apk ny yg eror.",1
min fitur 1x lihattt hapus aja ga guna,0
bagus,1
buat telfon suara lawan bicara nggk terdengar,0
bagus tapi lebih teliti dalam pemblokiran apk padahal tidak aktivitas yg melanggar peraturan WhatsApp,1
"kenapa ga Muncul pemberitahuan pesan masuk, kemarin di apgred normal lagi skarang ngaco lagi, ga ada pemberitahuan padahal ada pesan masuk",0
good,1
bagus,1
"makin update, makin banyak bug terutama pada fitur telpon, dan video call tolong diperbaiki",1
kreasi,1
hebat,1
ini bagus[✓✓]√,1
😁,1
baik,1
saya mmpunyai dua kartu jd semua pulihkn dan sinkronisasi kn 🙏,0
saya suka,1
chtt 2 nomor malah di kira spam di blokir sementara 5 jam gjls,0
ᑲіsᥲ ᥒg᥆ᑲr᥆ᥣ ᑲᥲrᥱᥒg 𝗍ᥱmᥱᥒ ᑲіsᥲ ᑲіkіᥒ s𝗍ᥲ𝗍ᥙs ძᥲᥒ ᑲіsᥲ ᑲіkіᥒ grᥙ⍴,1
sangat bagus,1
sangat la bagus dan manfaat,1
"mohon untuk jangan terus update,boleh update tapi hapus beberapa yang tidak dibutuhkan lagi gitu soalnya kasihan orang orang yang mungkin butuh WhatsApp tapi kedaluwarsa karena tidak di update alasannya RUANG PENYIMPANAN PENUH.kasihan buat orang yang butuh WhatsApp tapi ruang penyimpanan nya penuh hingga tidak bisa di upgrade dan WhatsApp nya kadaluwarsa",1
"foto yg sdh ke download hrsny ga kehapus dong kl wa nya ke logout, dongo bangettttt ni apk skrg:",0
sangat bagus,1
ko kena batasan pdahal ngk ngapa2in,1
ada apa dengan watsap punya saya ga bisa login selalu di tinjau pdhl SDH ganti nomer ttp sdi tinjau terus,0
keren,1
ok,1
bagus,1
"WhatsApp akhir2 ini eror Mulu mau upload sw tapi gagal terus udah hampir 2 Minggu gini, tolonglah jangan begini, saya mau bikin status WhatsApp jadi susah, kesel bgtt tolongg, mohon di perbaiki. pokoknya malam ini atau subuh besok harus sudah bisa bikin sw lagi!.",1
bagus,1
aplikasi sangat membantu saya dalam berbisnis,1
Penting dalam bisnis,1
seru kaya nya kalo wa di adain fitur arsip story kaya IG,1
baik,1
bug di kondisikan setelah update sering kurang stabil.,1
uh... kenapa kita boleh ngomong kasar,0
"padahal gw kenal orang yang gw cht,sama penting banget gw mau cht dia,tapi malah ke blok,padahal gaada yang di langgar,no hp nya juga punya gw pribadi,anehhh ni apk, asli nyusahin bangettt, padahal penting banget,",0
mntap,1
bagus,1
untuk WhatsApp tolong dong bikin fitur kaya di ios kalau salah satu bubble chat diklik yg lainnya jadi blur,1
burik,0
nice,1
bagus,1
whatsApp ngak bisa di bukak,1
awal pertama bukak sulit bgt,0
"kenapa susah di download, walaupun aplikasi yang lain sudah di hapus tetap saja gak bisa.",0
sudah di install tapi tidak ada aplikasi nya,0
bagus banget,1
sangat bagus,1
apl sangat membantu...,1
nice,1
TIDAK bisa mengaitkan ke wa mb padahal udh memenuhi syrat,0
"notifnya ga muncul, dah coba dihidupin tetep mati otomatis.",0
matap poko nya,1
Setelah update sering eror,1
selalu banyak manfaatnya,1
apk nya bagus cuma masalah di update nya aja terlalu sering,1
aku suka banget sama aplikasi whatsapp ini cocok untuk ngobrol dengan keluwarga,1
bagusssss banget,1
bagus,0
mantap,1
sangat puas,1
blokir gak jelas,0
tambahkan fitur menarik dan fitur seleksi keamanan untuk promosi judol di batasi atau dihilangkan,1
kenapa akun wa login tidak tersedia,0
gangguan terus,1
sering log out sendiri ..di login lagi harus nunggu peninjuan 24 jam ...sering kaya gitu terus padahal akun google aman kenapa whatsapp sekarang kayak ngini,0
"updatenya makin bagus, btw min aing mau minta req update minggu dpn kayak ip dri bubble chat ny soalnya biar makin aesthetic",1
mantap,1
sangat bagus?????,1
agak ngelag dan gak ada efek jadinya saya rating 4/5,1
terbaik,1
tolong ini kenapa bug notifikasi nya gk muncul,1
gangguan,0
sangat bagus,1
sy suka.sebagai sarana komunikasi,1
Aplikasi yang sangat membatu silaturahmi bisa berkolaborasi dengan musisi teman saudara keluarga maupun masyarakat umum yang digunakan sebagai bahan alat batu yang praktis bisa dibawa kemana-mana bisa tlpon an orang yang jauh dri liat kota maupun Jawa,1
sangat bagus,1
Terlalu ketat sistem keamanannya,0
the best,1
bagus,1
"ini kenapa wa saya ngga bisa buat status udah mau 2 bulanan,tolong diperbaiki",0
no baru tidak bisa di aktif kan dan terbaca nya spam atau apalah dan gak jelas balasan dari team support nya,0
bagus,1
wa wa saya disuruh login pas login ada tulisanbwa tidak resmi padahal udh download wa di play store,0
tidak bisa buka apk lain saat vc,0
bagus aplikasiny membantu untuk berkomunikasi,1
baguss,1
kenapa saya GK bisa telpon sama vidio cool,0
"wa-nya gak bisa, padahal gk ad nomor yang spam tapi tiba tiba nomor saya di buat kayak spam gitu, giliran masukkin nomornya lagi malah gk terdeteksi nomornya gimana ini.... tolong dong lebih di perbaikin lagi sistemnya. soalnya masih banyak yg penting di situ....",0
whatsapp kenapa kok ngirim foto sama lagu muter-muter dari tadi??,1
kenapa aku ini tadi tidak bisa login ya,1
saya WhatsApp nya selalu kena spam tolong ya di perbaiki. padahal saya gak pernah sama sekali melakukan spam apa apa. saya udah kirim lewat WhatsApp support nomor yg selalu kena spam.,1
singkat saja,1
sangat bagus sekali,1
"benerin BUG nya, pesan masuk tapi kagak ada di beranda nya.",0
bagus,1
mantap,1
kenapa wa GK bisa,1
sangat memuaskan,1
👍,1
ok,1
para cewek gk pernah bales chat ku anjirrrrrrr burik bet apk ini -Yogi,0
lumayan jg aplikasinya cuman yg membosankan itu selalu minta d Up date,1
suka banget,1
Mantap,1
aplikasi nya bagus gampang di akses semangat terus devploper,1
Bagus,1
ok,1
"kurang suka WA yang sekarang, kalo lihat SW sendiri langsung otomatis ke SW orang 🤦🏼‍♀️😩",1
Thank you,0
ok,1
WhatsApp saya sering kali ter band spam/biasa maupun permanen jadi tolong fix metode band dan tolong pulihkan akun WhatsApp saya,0
aplikasi yang sangat bagus untuk video koll untuk sahabat jauh,1
"kalo ada yang tlp gak ada notif, sama harus buka wanya dulu baru ketauan,",0
pihak whatsapp gmn caranya supaya wa tidak kena spam terus padahal sudah ganti nomor dan ganti hp resmi.,1
bagus,1
berkerja sama dengan orang lain bernama lengkap dan gambar di bawah umur aku senang banget,0
"tolong dongg WhatsApp jngn tiba""buat aku keluar login 😭,,trus pliess jngn lama in pemulihan chat nyaa aku butuh cht itu🙏🏻😭,, perbaiki lagi yahhh gue ksih bintang 5",1
bagus,1
setelah bertahun-tahun pake wa baru kali ini bnr² di bikin kecewa sm pihak wa ini nmr saya buat kerja tp tiba² kena spam ada apa wa?! why?!!! TOLONG DI PERBAIKI SISTEMNYA !!!!!,0
aplikasi ini sangat penting,1
bagus sekali,1
saya beri bintang lima karena seru bisa chatan sama teman² saya btw like tt gw 6nyaada6,1
bagus,1
gokil mana gokil,1
bagus,1
Baik,1
sangat membantu untuk berkabar,1
update mulu anjir gaada penyimpanan nih gue,0
"untuk developer tolong fitur non aktifnya bisa di perbaiki, karna nomer saya tidak dipakai untuk aktivitas mencurigakan. hari ini udah 2x ke nonaktifkan gatau alasannya baru login 1 mnt udah ke non lagi.MOHON PERBAIKI YAA SAMA NOMER GW BUKAIN WOE",1
"udh berkali kali login masi tetep gabisa dibuka harus nunggu 24 jam,,hadehh🤦🤦",1
sangat puas,1
bagus,1
best,1
Weaku.gajalan .,1
tidak baik,0
lumayan bagus tingkat kan lagi biar lebih cepat coneksi,1
"sering eror kalo vc an atau telponan ,",0
oke sangat membantu,1
Untuk pihak WhatsApp tolong dong jangan menurunkan kualitas video saat diunggah ke status. Saya ekspor video di 1080k + ekstra HD di aplikasi lain tetap saja burik jika di up ke status WhatsApp. Jadi mohon untuk di update kembali kualitasnya.,1
"ga bisa nerima chat fitur terbaru, pdahal dah update",0
gabut,1
bagus,1
kenapa hbis donlod wesap g bisa menerima kode pdahal no hp aktif,0
bgus,1
ada yang tidak bagus harus pakai kartu,0
"tiba tiba akun kenon permanen, hadeh padahal di situ isi nya sangat penting",0
mantapp,1
"akun tibah"" di blokir tanpa sebab dan TDK bisa di ambil kembali",0
ok,1
"min ini gimana data pada ilang ini wa keluar2 terus komplain kemana iya..ini wa aku suka sering minta pulihkan,,sering error,,,ribet parah verifikasi2 lama ini gmn data saya,parah verifikasi2 data pada ilang,di update bukannya bagus malah data ilang,gmn ini data ilang lagi",0
saya sangat suka tapi yang saya tidak suka itu tiba tiba ke blokir sementara padahal saya tidak ngapa ngapain,1
sangaaaat bagus,1
"suka kena blokir pdahal ga ngapa""in",0
bagus,1
ribet sekarang makin gak jelas di tinjau terus,0
WA nya bodah,1
mantap bos,1
Bagus,1
mantap,1
sangatt nyamann,1
baik,1
WhatsApp saya tidak bisa di verifikasi nomor saya ini. mohon bantu saya,1
baik,1
bisa berkomunikasi dengan orang lain,1
yakin sekali bahwa apik kasih saya lagi sedih yakin sekali karena aplikasi tidak dihapus dari Google,1
bagus dan cantik,1
"jadi sering ke ban, ngechat ato masuk gb yang belum di kenal aja langsung ke blokir",0
sangat bgus,1
tidak ada filternya,1
sangat baik,1
aplikasi ini bagus sih cuman ntah knp akun WhatsApp gw selalu minta tinjau meski udah gw tinjau padahal gw nggak ngapa-ngapain kan aneh,1
tapi penyimpanan aku sering penuh,0
Bagus,1
baik,1
Mantappp,1
oke,1
😃,1
bagus dan penting untuk kebutuhan sehari hari,1
"aplikasi busuk,sebulan sekali akun saya di ban permanen sampe ganti nomer 4 kali",0
"gimana cara dapat ap WA, setelah ke format",0
tidak bagus,1
Layanannya bagus fitur ini,1
Thanksfull for usefullto Pray,1
ok,1
terima kasih,1
"ini aplikasi kenapa sih, setiap kali mau ngechat orang malah di blokir padahal nomor yang mau di chat udah di save, aku kasih bintang 5 biar bisa kebaca",1
sangat bagus,1
kenapa akun WhatsApp saya di blokir sedangkan whatshap tersebut untuk saya pake bekerja setiap harinya,1
sangat penting,1
"""akun anda sedang di tinjau"" padahal gua g ada salah apa² loh yah🤓",0
